Name,Accuracy,Bleu 1-gram,Bleu
GRU-RNN-5epochs,0.9249482598,0.8717266803,0.7209214654
Bidirectional-GRU(Relu),0.924947242,0.9436360582,0.8806510598
Glove-Bidirectional-GRU,0.9251923716,0.9043192682,0.8050320423
Bidirectional-Gru(Tanh),0.924945376,0.9403835314,0.8727307361
Bidirectional-Lstm,0.9249474965,0.9432256319,0.8798774903
GRU-10epochs,0.9249479206,0.8790793894,0.7347620552
