Name,Accuracy,Bleu 1-gram,Bleu
GRU-RNN,0.9293361061833593,0.9059318607011936,0.7956909665161529
Bidirectional-Gru,0.9293351768517965,0.9172842313595826,0.8227478668530862
Bidirectional-Lstm,0.9293339377430458,0.9379396306435894,0.8654887183345348
Bidirectional-Lstm-10epochs,0.9293340410021085,0.9399598074119839,0.8702946173783551
Bidirectional-GRU-10epochs,0.929333937743046,0.9357239999495884,0.860172414305687
Bidirectional-GRU-10epochs,0.928856620206906,0.9383312376664364,0.867220697128816
GRU-10epochs,0.9293358996652341,0.9032917758013911,0.790907011076266
